zipcode,white_percent,black_percent,asian_percent
11768,0.957264177,0.006483426,0.018445804
11769,0.96539028,0.009783295,0.013359983
11770,0.99270073,0,0.00729927
11771,0.871090237,0.025781953,0.038772859
11772,0.804647947,0.058366974,0.020295738
11776,0.867546936,0.026036724,0.041386425
11777,0.89250669,0.015388046,0.056311329
11778,0.937918011,0.015264773,0.015186089
11779,0.889877931,0.021915099,0.047890477
11780,0.9461479,0.007407885,0.025959804
11782,0.953522196,0.010686733,0.018844062
11783,0.956877114,0.004603533,0.020903796
11784,0.861650781,0.035003042,0.044980734
11786,0.943568726,0.014029004,0.025693569
11787,0.938331656,0.010511014,0.029520295
11788,0.879020272,0.025444385,0.066821235
11789,0.943128562,0.01139962,0.017732742
11790,0.812057695,0.045648533,0.113067906
11791,0.754346786,0.00905248,0.212035412
11792,0.948022997,0.017951426,0.010911651
11793,0.947365162,0.007183107,0.023840485
11794,0.55892575,0.152922591,0.230015798
11795,0.962965809,0.004610065,0.016019977
11796,0.966469428,0.011341223,0.009368836
11797,0.869704679,0.01360469,0.103196549
11798,0.186225321,0.634391086,0.022349645
11801,0.713725887,0.012944657,0.193512502
11803,0.866107299,0.004550787,0.106659082
11804,0.918562874,0.001996008,0.064071856
11901,0.701346975,0.141137936,0.011408803
11930,0.927773641,0.010424423,0.017870439
11931,0.927152318,0,0.006622517
11932,0.729613734,0.165951359,0.006437768
11933,0.892606663,0.06648159,0.00862069
11934,0.897976043,0.034007986,0.014043784
11935,0.946731235,0.01846247,0.008474576
11937,0.832315885,0.029614236,0.014027796
11939,0.952483801,0.007559395,0.008639309
11940,0.944145873,0.013435701,0.00940499
11941,0.952165156,0.011581067,0.005035247
11942,0.932869867,0.01737997,0.01129698
11944,0.737380786,0.079785997,0.007210979
11946,0.84063122,0.014714245,0.008387831
11947,0.930288462,0.007211538,0.021634615
11948,0.937666963,0.018699911,0.001780944
11949,0.938104714,0.015988472,0.017498113
11950,0.750799115,0.091775264,0.020838456
11951,0.799926901,0.096637427,0.016008772
11952,0.931205521,0.014664654,0.008841924
11953,0.774145946,0.132221648,0.032243784
11954,0.90288635,0.028262177,0.009019844
11955,0.891933029,0.031050228,0.02739726
11956,0.979942693,0.005730659,0
11957,0.960969044,0.01076716,0.00807537
11958,0.883464567,0.048818898,0.001574803
11959,0.919062833,0.017039404,0.010649627
11960,0.960332103,0.002767528,0.008302583
11961,0.90626461,0.050257129,0.017921147
11962,0.927125506,0.016194332,0.018218623
11963,0.916339474,0.030353368,0.014497131
11964,0.940258342,0.012917115,0.004843918
11965,0.956928839,0.007490637,0.001872659
11967,0.819583945,0.07015762,0.025881202
11968,0.824808074,0.048132494,0.014836539
11970,0.978927203,0.013409962,0.001915709
11971,0.940357511,0.007562736,0.008078377
11972,0.897804693,0.02346707,0.005299016
11973,0,0,1
11975,0.931372549,0.029411765,0.007352941
11976,0.937380192,0.010223642,0.015335463
11977,0.907985407,0.012565869,0.010944467
11978,0.818740399,0.059293395,0.013824885
11980,0.875951904,0.080961924,0.018036072
12007,0.966666667,0.016666667,0
12008,0.985915493,0,0.006036217
12009,0.948911223,0.011166946,0.016052485
12010,0.861526765,0.027127899,0.008051975
12015,0.953488372,0.015946844,0.009634551
12017,0.956321839,0.004597701,0.022988506
12018,0.978184111,0.003404792,0.003656999
12019,0.961261872,0.008141113,0.014382632
12020,0.954090793,0.01160554,0.010002565
12022,0.970936491,0,0.001076426
12023,0.979508197,0.005919854,0.004098361
12024,0.967741935,0,0.032258065
12025,0.97311535,0.006357856,0.005449591
12027,0.979649665,0.002575992,0.006955178
12028,0.971843003,0.01109215,0.003412969
12029,0.914645103,0.059299191,0.005390836
12031,0.977142857,0,0
12032,0.979665072,0,0.002392344
12033,0.967520061,0.008788689,0.005859126
12035,0.97755611,0.004987531,0.003740648
12036,0.973684211,0.004385965,0.004385965
12037,0.921295143,0.025653798,0.01120797
12040,0.955752212,0,0.008849558
12041,0.977130977,0.004158004,0.002079002
12042,0.959409594,0.007380074,0
12043,0.931249265,0.026325068,0.013750147
12045,0.919520548,0.023972603,0
12046,0.973072215,0.004895961,0.006119951
12047,0.898189585,0.041395443,0.021155411
12051,0.700707214,0.249363508,0.00834512
12052,0.971938776,0.00127551,0.013392857
12053,0.977763244,0.003924133,0.002616089
12054,0.934330299,0.017555267,0.025534933
12056,0.971428571,0.007359307,0.009090909
12057,0.970027248,0.003269755,0.009809264
12058,0.967474048,0.005536332,0.007612457
12059,0.982843137,0.004901961,0.001838235
12060,0.97013935,0.00796284,0.00796284
12061,0.921878453,0.023425414,0.034475138
12062,0.948198198,0.009572072,0.020833333
12063,0.936936937,0.018018018,0.022522523
12064,0.944937833,0.012433393,0.007104796
12065,0.902719265,0.022764267,0.044762543
12066,0.965002333,0.008866076,0.002799813
12067,0.958167331,0.009296149,0.011288181
12068,0.979381443,0.003436426,0.005935645
12069,0.9296875,0,0.0234375
12070,0.967375887,0.003546099,0.009219858
12071,0.97037037,0.003703704,0.007407407
12072,0.952249135,0.015570934,0.011072664
12074,0.978737766,0.005062437,0.00236247
12075,0.959625512,0.010239906,0.006436513
12076,0.968666667,0.008666667,0.004
12077,0.888408581,0.053154019,0.039385207
12078,0.948681277,0.020106844,0.004627098
12083,0.964690382,0.008432148,0.006324111
12084,0.704518848,0.051744322,0.211191758
12085,0.824634656,0.079331942,0.050104384
12086,0.966756032,0.007506702,0.000536193
12087,0.967381174,0.013979497,0.005591799
12089,1,0,0
12090,0.969498563,0.006387736,0.004471415
12092,0.965490798,0.007668712,0.011503067
12093,0.971188475,0.010804322,0.00060024
12094,0.973985891,0.001322751,0.002645503
12095,0.928050135,0.038156433,0.011026495
12106,0.968080255,0.005927953,0.009119927
12108,0.985576923,0.002403846,0
12110,0.842523279,0.055002739,0.070978638
12115,0.973544974,0.010582011,0
12116,0.977083333,0.005208333,0.0015625
12117,0.979115479,0.005528256,0.003071253
12118,0.960710945,0.006548176,0.011873066
12120,0.978792822,0.006525285,0
12121,0.974947808,0.009916493,0.009916493
12122,0.968790921,0.004583151,0.004364906
12123,0.964676034,0.010148322,0.004488681
12124,0.962046205,0.01980198,0.00330033
12125,0.958485069,0.018208303,0.009468318
12130,0.960486322,0.00810537,0.006079027
12131,0.965217391,0,0
12132,0.952662722,0.026627219,0.020710059
12134,0.974971559,0.002844141,0.002559727
12136,0.972636816,0.002487562,0.004975124
12137,0.967242406,0.00238237,0.010125074
12138,0.973800505,0.003472222,0.002840909
12139,0.983050847,0,0.010169492
12140,0.973560517,0.001762632,0.005875441
12143,0.924858867,0.033677244,0.007981312
12144,0.864120652,0.055801508,0.042130868
12147,0.981963928,0.01002004,0.004008016
12148,0.906325235,0.014007441,0.050339243
12149,0.968876314,0.008084074,0.004850445
12150,0.966083151,0.010940919,0.003282276
12151,0.942090395,0.007062147,0.014124294
12153,0.974201474,0.004914005,0.001228501
12154,0.979772889,0.003548616,0.003193754
12155,0.964592817,0.009610521,0.005058169
12156,0.95754717,0.002358491,0.003537736
12157,0.980300419,0.004924895,0.002708692
12158,0.916944048,0.031225234,0.022349025
12159,0.891464032,0.019630193,0.06585613
12160,0.972457627,0.00529661,0.002118644
12161,0.975,0.00625,0.0125
12164,0.961643836,0.008219178,0.016438356
12165,0.977142857,0,0.022857143
12166,0.972120323,0.002201027,0.006603081
12167,0.967186218,0.007383101,0.00369155
12168,0.960040984,0.011782787,0.008196721
12169,0.967320261,0.006535948,0
12170,0.968250758,0.006875632,0.00364004
12172,0.886419753,0.049382716,0.007407407
12173,0.949229892,0.012549914,0.001711352
12174,0.976811594,0.002898551,0
12175,0.889585947,0.080301129,0.010037641
12176,0.934343434,0.015151515,0.03030303
12177,0.951737452,0.005791506,0.019305019
12180,0.77218968,0.133641757,0.034884155
12182,0.845177493,0.095228399,0.005565737
12183,0.891603053,0.050381679,0.017557252
12184,0.953553442,0.012451035,0.010212647
12185,0.971035837,0.003927344,0.002945508
12186,0.962721045,0.007487653,0.016090489
12187,0.975609756,0.004304161,0.005738881
12188,0.944808743,0.012659381,0.019307832
12189,0.830885701,0.075022769,0.051741803
12190,0.956973294,0.016320475,0.010385757
12192,0.965737515,0.012195122,0.004645761
12193,0.983134921,0.001488095,0.001984127
12194,0.985507246,0,0.009661836
12195,0.967532468,0.006493506,0.006493506
12196,0.968987133,0.003629165,0.008907951
12197,0.961038961,0.005373936,0.001791312
12198,0.960141718,0.010755409,0.010249272
12202,0.286767761,0.581325301,0.026381388
12203,0.819110577,0.080762553,0.060463408
12204,0.566607702,0.289427133,0.091713158
12205,0.854023798,0.058531342,0.053712422
12206,0.350350717,0.498200671,0.04800244
12207,0.241786448,0.621663244,0.043634497
12208,0.76210028,0.131291663,0.061105207
12209,0.558739255,0.295919376,0.055330501
12210,0.421441229,0.482378421,0.024808033
12211,0.895602937,0.028753428,0.054144917
12222,0.679303437,0.153644629,0.07582062
12302,0.957218476,0.010659126,0.014610978
12303,0.797869846,0.08420136,0.037411662
12304,0.65659622,0.165533935,0.036216367
12305,0.695241428,0.219209237,0.021693492
12306,0.916796692,0.030660009,0.011858324
12307,0.299791992,0.41900676,0.040691628
12308,0.664753831,0.167851321,0.040039126
12309,0.865010394,0.032375694,0.070817571
12401,0.789041096,0.109332192,0.018065068
12404,0.933530281,0.021565731,0.007090103
12405,0.951282051,0.017948718,0.005128205
12406,0.939246659,0.002430134,0.0036452
12407,0.988439306,0.005780347,0
12409,0.929104478,0.007462687,0.018656716
12410,0.931989924,0.012594458,0.027707809
12411,0.949698189,0.016096579,0.010060362
12412,0.904903418,0.002971768,0.022288262
12413,0.933175034,0.014925373,0.008480326
12414,0.868791627,0.068601332,0.008943863
12416,0.891696751,0,0.032490975
