incident_address,count
140 PARK HILL AVENUE,16
2381 GRAND CONCOURSE,16
210 LOTT AVENUE,16
7410 RIDGE BOULEVARD,16
1460 LELAND AVENUE,16
400 HERKIMER STREET,16
2 ELTON STREET,16
531 BRISTOL STREET,16
2320 GRAND AVENUE,16
401 EAST  204 STREET,15
1465 JESUP AVENUE,15
620 79 STREET,15
1325 LAFAYETTE AVENUE,15
790 CONCOURSE VILLAGE WEST,15
81-07 101 AVENUE,15
1850 81 STREET,15
570 WEST  204 STREET,15
711 WALTON AVENUE,15
258 67 STREET,15
1417 PROSPECT PLACE,15
643 WEST  172 STREET,15
879 BERGEN STREET,15
2119 DAVIDSON AVENUE,15
16 BROADWAY TERRACE,15
993 SUMMIT AVENUE,15
2060 GRAND CONCOURSE,15
386 EAST   94 STREET,15
1186 WASHINGTON AVENUE,15
2372 ARTHUR KILL ROAD,15
255 EAST 10 STREET,15
2754 PITKIN AVENUE,15
786 EAST   52 STREET,15
1018 EASTERN PARKWAY,15
208 WEST  151 STREET,15
667 OCEAN AVENUE,15
98-15 HORACE HARDING EXPRESSWAY,15
3346 HULL AVENUE,15
454 EAST   22 STREET,15
41-14 58 STREET,15
60 CLARKSON AVENUE,15
1548 ST NICHOLAS AVENUE,15
111 WEST 141 STREET,15
592 UNION AVENUE,15
991 CARROLL STREET,15
315 EAST  166 STREET,15
1360 EAST   14 STREET,15
2522 NEWKIRK AVENUE,15
1965 LAFAYETTE AVENUE,15
533 WEST  158 STREET,15
220 WEST  133 STREET,15
675 MORRIS AVENUE,15
560 LINCOLN PLACE,15
248 FRANKLIN AVENUE,15
105 WEST  168 STREET,15
2970 OCEAN AVENUE,15
340 ST JOHNS PLACE,15
4 EAST  107 STREET,15
481 WARREN STREET,15
1854 OCEAN AVENUE,15
107 LINDEN STREET,15
120 FEATHERBED LANE,15
944 MARCY AVENUE,15
4464 PARK AVENUE,15
738 EAST   21 STREET,15
2450 DAVIDSON AVENUE,15
1812 PALISADE PLACE,15
64-85 WETHEROLE STREET,15
1006 INTERVALE AVENUE,15
347 LINCOLN PLACE,15
2400 WALTON AVENUE,15
590 WEST 204 STREET,15
120 KENILWORTH PLACE,15
574 WEST  161 STREET,15
878 EAST  176 STREET,15
338 8 STREET,15
531 EAST   22 STREET,15
849 EAST  215 STREET,15
6902 RIDGE BOULEVARD,15
2311 CROTONA AVENUE,15
2630 OCEAN AVENUE,15
690 ALLERTON AVENUE,15
1691 FULTON AVENUE,15
6302 4 AVENUE,15
109 WEST  136 STREET,15
1291 ST NICHOLAS AVENUE,15
1265 GERARD AVENUE,15
632 WEST  171 STREET,15
3525 DECATUR AVENUE,15
1997 HUGHES AVENUE,15
250 EAST  176 STREET,15
106 MARCY PLACE,15
649 WEST  184 STREET,15
1550 STERLING PLACE,15
2835 FREDERICK DOUGLASS BOULEVARD,15
130 VAN CORTLANDT AVENUE WEST,15
3056 ALBANY CRESCENT,15
3535 WHITE PLAINS ROAD,15
109 NORTH    7 STREET,15
1723 BLEECKER STREET,15
337 GRAFTON STREET,15
3210 PERRY AVENUE,14
127 EAST  107 STREET,14
772 EAST 168 STREET,14
315 ATKINS AVENUE,14
42-66 PHLOX PLACE,14
3820 BROADWAY,14
2749 BROADWAY,14
1381 CASTLE HILL AVENUE,14
2654 VALENTINE AVENUE,14
20 WEST  190 STREET,14
2420 PROSPECT AVENUE,14
941 WEST END AVENUE,14
8301 BAY PARKWAY,14
205 WEST   88 STREET,14
2460 UNIVERSITY AVENUE,14
921 MONTGOMERY STREET,14
496 TINTON AVENUE,14
778 PROSPECT PLACE,14
1087 LENOX ROAD,14
94 ROCKAWAY PARKWAY,14
616 NOSTRAND AVENUE,14
201 WADSWORTH AVENUE,14
210 CATON AVENUE,14
117 WEST  197 STREET,14
1916 GRAND CONCOURSE,14
87-71 148 STREET,14
1240 WASHINGTON AVENUE,14
1898 PACIFIC STREET,14
1330 5 AVENUE,14
160 AUDUBON AVENUE,14
559 WEST  164 STREET,14
930 SHERIDAN AVENUE,14
756 LIBERTY AVENUE,14
2454 TIEBOUT AVENUE,14
1487 EAST   37 STREET,14
3366 DECATUR AVENUE,14
1107 BRYANT AVENUE,14
12 CROWN STREET,14
718 GARDEN STREET,14
2161 BARNES AVENUE,14
11-40 44 DRIVE,14
350 SNEDIKER AVENUE,14
327 EASTERN PARKWAY,14
545 WEST  164 STREET,14
540 CONCORD AVENUE,14
2317 1 AVENUE,14
2042 GRAND AVENUE,14
24 ROGERS AVENUE,14
3871 SEDGWICK AVENUE,14
1870 ROCKAWAY PARKWAY,14
1094 DE KALB AVENUE,14
1893 BELMONT AVENUE,14
411 EAST  114 STREET,14
100 PULASKI STREET,14
29-10 BROOKHAVEN AVENUE,14
1226 EVERGREEN AVENUE,14
214 ROCKAWAY PARKWAY,14
179 ARDMORE AVENUE,14
691 GERARD AVENUE,14
700 GATES AVENUE,14
1310 NOSTRAND AVENUE,14
235 MT HOPE PLACE,14
2117 FOSTER AVENUE,14
1131 OGDEN AVENUE,14
2490 DAVIDSON AVENUE,14
186 PROSPECT PLACE,14
580 FLATBUSH AVENUE,14
530 EAST  169 STREET,14
47 MAC DONOUGH STREET,14
49 EAST   19 STREET,14
1060 FINDLAY AVENUE,14
3135 GODWIN TERRACE,14
1515 METROPOLITAN AVENUE,14
155 WEST  162 STREET,14
109-02 MERRICK BOULEVARD,14
1732 VICTOR STREET,14
676 HOWARD AVENUE,14
1001 PUTNAM AVENUE,14
2195 GRAND CONCOURSE,14
546 EAST  182 STREET,14
45 WYCKOFF STREET,14
129 SHERMAN AVENUE,14
820 RIVERSIDE DRIVE,14
2333 WEBSTER AVENUE,14
2401 CORTELYOU ROAD,14
1741 AMSTERDAM AVENUE,14
3470 CANNON PLACE,14
249 BEACH   15 STREET,14
1535 UNDERCLIFF AVENUE,14
414 AVENUE N,14
2132 WALLACE AVENUE,14
2685 UNIVERSITY AVENUE,14
785 UNION AVENUE,14
1706 UNION STREET,14
35 HAMILTON PLACE,14
1950 BRYANT AVENUE,14
2109 76 STREET,14
723 EAST    5 STREET,14
273 EAST  175 STREET,14
601 MARCY AVENUE,14
45-19 43 AVENUE,14
950 RUTLAND ROAD,14
104-17 177 STREET,13
505 WEST  135 STREET,13
89-20 161 STREET,13
3554 DEKALB AVENUE,13
100-33 204 STREET,13
2226 LORING PLACE NORTH,13
300 WEST   46 STREET,13
2525 BEVERLY ROAD,13
2095 CRESTON AVENUE,13
2101 BEEKMAN PLACE,13
40-29 67 STREET,13
1357 DECATUR STREET,13
509 WEST  212 STREET,13
58 EAST  132 STREET,13
233 THOMAS BOYLAND STREET,13
34 IRVING AVENUE,13
736 WILLOUGHBY AVENUE,13
314 MENAHAN STREET,13
242 WEST  116 STREET,13
1265 OLMSTEAD AVENUE,13
2311 SOUTHERN BOULEVARD,13
502 WEST  142 STREET,13
225 PARKSIDE AVENUE,13
1517 WHITE PLAINS ROAD,13
654 MANOR ROAD,13
156 EAST  178 STREET,13
254 WEST  154 STREET,13
98 VERMILYEA AVENUE,13
1525 WALTON AVENUE,13
720 ST MARKS AVENUE,13
751 ST MARKS AVENUE,13
1704 ST JOHNS PLACE,13
707 EAST  242 STREET,13
1349 STRATFORD AVENUE,13
488 EAST  164 STREET,13
158 TOMPKINS AVENUE,13
471 VAN SICLEN AVENUE,13
224 SOUTH    3 STREET,13
578 EAST   17 STREET,13
259-65 148 AVENUE,13
41-11 40 STREET,13
2310 ADAM C POWELL BOULEVARD,13
272 PROSPECT PARK WEST,13
241 EAST  115 STREET,13
1505 LELAND AVENUE,13
961 ST NICHOLAS AVENUE,13
108 FENIMORE STREET,13
678 ST NICHOLAS AVENUE,13
760 LIBERTY AVENUE,13
240 PARK HILL AVENUE,13
744 60 STREET,13
2970 WEST   24 STREET,13
3200 DECATUR AVENUE,13
8224 BAY PARKWAY,13
50 LEGION STREET,13
1710 POPHAM AVENUE,13
8785 BAY   16 STREET,13
35 ARDEN STREET,13
1363 FRANKLIN AVENUE,13
761 ST NICHOLAS AVENUE,13
1985 OCEAN AVENUE,13
7102 RIDGE BOULEVARD,13
6833 SHORE ROAD,13
94-02 35 AVENUE,13
29 EAST    2 STREET,13
222 LENOX ROAD,13
41-53 HAMPTON STREET,13
171 NEW YORK AVENUE,13
215 EAST  197 STREET,13
4115 CHURCH AVENUE,13
1890 CROTONA PARKWAY,13
83-14 LEFFERTS BOULEVARD,13
225 PARK HILL AVENUE,13
417 LORIMER STREET,13
1057 HOE AVENUE,13
528 EAST 85 STREET,13
